TicketKey,File
OPENJPA-119,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl.java
OPENJPA-1200,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java
OPENJPA-1200,openjpa-kernel/src/main/java/org/apache/openjpa/conf/Compatibility.java
OPENJPA-1201,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java
OPENJPA-1204,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedValueHandler.java
OPENJPA-121,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/PersistenceMappingDefaults.java
OPENJPA-1211,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/FromImpl.java
OPENJPA-1218,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/ConcurrentDataCache.java
OPENJPA-1218,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/StoreCacheImpl.java
OPENJPA-122,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl.java
OPENJPA-1224,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractDB2Dictionary.java
OPENJPA-1224,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java
OPENJPA-1224,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MySQLDictionary.java
OPENJPA-1226,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedStateManager.java
OPENJPA-1226,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/VersionAttachStrategy.java
OPENJPA-1227,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java
OPENJPA-1230,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceUnitInfoImpl.java
OPENJPA-1232,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractPCData.java
OPENJPA-1239,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataDefaults.java
OPENJPA-1242,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/SingleFieldManager.java
OPENJPA-1242,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java
OPENJPA-1243,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Distinct.java
OPENJPA-1243,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java
OPENJPA-1243,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaTool.java
OPENJPA-1243,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java
OPENJPA-1243,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/InformixDictionary.java
OPENJPA-1248,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/LobFieldStrategy.java
OPENJPA-1248,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary.java
OPENJPA-1248,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PostgresDictionary.java
OPENJPA-1248,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLServerDictionary.java
OPENJPA-1250,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java
OPENJPA-1253,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMappingInfo.java
OPENJPA-1253,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java
OPENJPA-1253,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingInfo.java
OPENJPA-1253,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractFieldStrategy.java
OPENJPA-1253,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerRelationMapTableFieldStrategy.java
OPENJPA-1253,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MapTableFieldStrategy.java
OPENJPA-1253,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationFieldStrategy.java
OPENJPA-1253,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationRelationMapTableFieldStrategy.java
OPENJPA-1253,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationToManyInverseKeyFieldStrategy.java
OPENJPA-1253,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationToManyTableFieldStrategy.java
OPENJPA-1253,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java
OPENJPA-1253,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PrimaryRow.java
OPENJPA-1253,openjpa-kernel/src/main/java/org/apache/openjpa/conf/Compatibility.java
OPENJPA-1253,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FieldMetaData.java
OPENJPA-1253,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataDefaults.java
OPENJPA-1253,openjpa-kernel/src/main/java/org/apache/openjpa/meta/NoneMetaDataFactory.java
OPENJPA-1253,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingParser.java
OPENJPA-1253,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/PersistenceMappingDefaults.java
OPENJPA-1253,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataParser.java
OPENJPA-1253,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataDefaults.java
OPENJPA-1253,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProductDerivation.java
OPENJPA-1256,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCEnhancer.java
OPENJPA-1260,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java
OPENJPA-1269,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingParser.java
OPENJPA-1279,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheStoreManager.java
