Iteration,TestRelease,Classifier,FS,Balancing,TrainSize,TestSize,BuggyTrain,BuggyTest,Precision,Recall,F1,AUC,Kappa
10,2_0_0_M2,RandomForest,CFS,None,7629,925,1495,126,0.5921,0.7143,0.6475,0.9026,0.5858
10,2_0_0_M2,RandomForest,CFS,Undersampling,7629,925,1495,126,0.2955,0.9286,0.4483,0.8636,0.3045
10,2_0_0_M2,RandomForest,CFS,Oversampling,7629,925,1495,126,0.3818,0.8333,0.5237,0.9049,0.4143
10,2_0_0_M2,RandomForest,CFS,SMOTE,7629,925,1495,126,0.4135,0.7778,0.5399,0.9005,0.4404
10,2_0_0_M2,NaiveBayes,None,None,7629,925,1495,126,0.3944,0.4444,0.4179,0.7883,0.3197
10,2_0_0_M2,NaiveBayes,None,Undersampling,7629,925,1495,126,0.3893,0.4603,0.4218,0.7906,0.3217
10,2_0_0_M2,NaiveBayes,None,Oversampling,7629,925,1495,126,0.3862,0.4444,0.4133,0.7896,0.3132
10,2_0_0_M2,NaiveBayes,None,SMOTE,7629,925,1495,126,0.3931,0.4524,0.4207,0.7886,0.3218
10,2_0_0_M2,NaiveBayes,CFS,None,7629,925,1495,126,0.3759,0.4206,0.3970,0.7803,0.2957
10,2_0_0_M2,NaiveBayes,CFS,Undersampling,7629,925,1495,126,0.3784,0.4444,0.4088,0.7834,0.3067
10,2_0_0_M2,NaiveBayes,CFS,Oversampling,7629,925,1495,126,0.3709,0.4444,0.4043,0.7824,0.3004
10,2_0_0_M2,NaiveBayes,CFS,SMOTE,7629,925,1495,126,0.3776,0.4286,0.4015,0.7791,0.3001
10,2_0_0_M2,IBk,None,None,7629,925,1495,126,0.4327,0.7143,0.5389,0.8162,0.4447
10,2_0_0_M2,IBk,None,Undersampling,7629,925,1495,126,0.3096,0.8968,0.4603,0.7835,0.3232
10,2_0_0_M2,IBk,None,Oversampling,7629,925,1495,126,0.3898,0.7857,0.5211,0.8216,0.4144
10,2_0_0_M2,IBk,None,SMOTE,7629,925,1495,126,0.4147,0.7143,0.5248,0.8101,0.4258
10,2_0_0_M2,IBk,CFS,None,7629,925,1495,126,0.4381,0.7302,0.5476,0.8276,0.4548
10,2_0_0_M2,IBk,CFS,Undersampling,7629,925,1495,126,0.3469,0.8810,0.4978,0.7976,0.3757
10,2_0_0_M2,IBk,CFS,Oversampling,7629,925,1495,126,0.3939,0.8254,0.5333,0.8304,0.4278
10,2_0_0_M2,IBk,CFS,SMOTE,7629,925,1495,126,0.4215,0.7460,0.5387,0.8274,0.4415
