Release,File,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,NSmells,NR,NAuth,LOC_added_sum,LOC_added_max,LOC_added_avg,LOC_deleted_sum,LOC_deleted_max,LOC_deleted_avg,Churn_sum,Churn_max,Churn_avg,ChgSetSize_max,ChgSetSize_avg,Buggy
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/MetaDataIteratorChain.java,2,4,2,2,19,1,1,12,4,0.5833333,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,0,46,6,2,7,0,1,0,6,10,0,5,2,0,0,0,47,1,0,11,4,1,37,21,9.25,53,45,13.25,90,66,22.5,928,605.25,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingStoreManager.java,11,18,7,11,39,1,1,33,0,0.5,0.0,0.0,35,0,35,0,0,0,35,0,0,0,2,0,0,2,0,0,2,0,0,113,25,0,2,0,2,0,0,4,0,2,1,0,0,0,95,1025,0,6,6,3,403,199,67.16666666666667,204,194,34.0,607,393,101.16666666666667,928,472.5,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCachePCDataGenerator.java,20,23,3,20,13,3,0,53,36,0.8888889,0.0,0.0,9,0,1,5,3,0,4,0,0,0,2,2,1,1,0,0,2,0,2,128,1,1,0,0,2,30,19,24,2,24,2,0,1,0,86,1,0,6,6,2,484,232,80.66666666666667,232,216,38.666666666666664,716,448,119.33333333333333,928,483.1666666666667,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/EndsWithExpression.java,2,3,1,2,4,3,0,2,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,2,0,0,0,0,0,0,0,1,0,0,0,20,0,0,1,4,1,75,38,18.75,37,34,9.25,112,72,28.0,928,668.5,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java,80,124,44,80,293,2,0,152,2114,0.92339545,0.0,0.0,69,2,20,8,41,0,62,0,0,11,7,2,0,7,0,0,2,0,40,520,149,3,101,7,11,14,14,108,1,73,3,0,0,0,255,1,2,106,8,2,1210,1135,151.25,39,24,4.875,1249,1135,156.125,928,186.75,No
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DecoratingDataSource.java,4,5,1,4,13,2,0,13,6,0.33333334,0.0,0.0,9,0,8,1,0,0,8,0,0,0,1,0,0,1,0,0,0,0,1,33,5,1,2,0,1,0,0,5,0,4,2,0,0,0,56,1,0,5,6,1,37,19,6.166666666666667,42,32,7.0,79,51,13.166666666666666,928,486.1666666666667,No
0.9.6,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/GeneratorImpl.java,6,8,2,6,10,1,0,6,0,0.46875,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,4,0,0,35,8,0,1,0,2,0,0,4,0,4,1,0,0,0,37,1,0,5,2,2,81,81,40.5,1,1,0.5,82,81,41.0,79,49.0,No
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/ParseException.java,2,6,4,2,6,2,0,1,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,6,1,28,9,4.666666666666667,19,12,3.1666666666666665,47,21,7.833333333333333,928,454.0,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java,18,20,2,18,65,1,1,49,130,0.88235295,0.0,0.0,17,0,4,9,4,0,8,3,0,0,2,0,0,0,2,0,0,0,1,182,12,6,13,4,3,0,3,44,0,33,3,0,1,0,128,1025,0,39,5,3,431,384,86.2,65,44,13.0,496,384,99.2,928,282.2,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyTimestamp.java,5,7,2,5,19,3,0,13,128,0.85294116,0.0,0.0,17,0,16,0,1,0,17,0,0,0,2,0,0,2,0,0,0,0,9,67,7,0,1,0,1,0,1,5,0,3,1,0,0,0,66,1,0,9,4,1,238,120,59.5,118,114,29.5,356,234,89.0,928,668.5,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseMappingTool.java,60,64,4,60,362,3,0,291,3460,0.96744466,0.0,0.0,88,9,64,23,0,1,66,0,0,0,37,10,8,29,0,0,14,0,26,993,97,41,131,5,12,84,114,291,18,194,6,0,3,0,549,1,11,203,4,2,2062,2053,515.5,15,12,3.75,2077,2053,519.25,928,372.25,Yes
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/StartsWithExpression.java,2,3,1,2,4,3,0,2,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,2,0,0,0,0,0,0,0,1,0,0,0,20,0,0,1,4,1,75,38,18.75,37,34,9.25,112,72,28.0,928,668.5,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java,11,11,0,11,28,3,0,13,0,0.773913,0.0,0.0,23,0,21,0,2,0,23,0,0,0,5,0,0,0,5,0,0,0,1,91,2,0,2,0,0,1,0,33,0,9,1,0,1,0,158,1,0,4,4,2,263,257,65.75,5,3,1.25,268,257,67.0,928,357.75,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/QueryExpressionsState.java,1,3,2,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,1,6,0,0,0,1,0,0,8,0,0,0,0,0,0,1,6,0,6,0,0,0,0,29,1,0,0,1,1,33,33,33.0,0,0,0.0,33,33,33.0,79,79.0,No
